Execution time: 3732.743196249008 seconds

Number of crossovers applied: 11985
Number of mutations applied: 978

Best individuals and their accuracies for each test:
Test 1 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 2 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 3 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 4 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 5 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 6 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 7 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 8 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 9 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 10 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 11 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 12 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 13 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 14 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 15 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 16 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 17 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 18 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 19 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 20 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 21 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 22 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 23 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 24 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 25 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 26 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 27 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 28 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 29 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 30 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 31 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 32 => Best Individual: 11001011, Fitness: 0.7987012987012987
